nodename,batch,timestamp,task,data,in_rows,question,out_rows,out_cols,solution,version,git,fun,run,time_sec,mem_gb,cache,chk,chk_time_sec,comment,on_disk
ip-172-31-31-147,1717777895,1717777941,groupby,G1_1e7_1e1_0_0,10000000,sum v3 count by id1:id6,10000000,8,collapse,2.0.14,,group_by,1,1.01,NA,TRUE,499980747;10000000,0.001,NA,FALSE
ip-172-31-31-147,1717777895,1717777943,groupby,G1_1e7_1e1_0_0,10000000,sum v3 count by id1:id6,10000000,8,collapse,2.0.14,,group_by,2,0.981,NA,TRUE,499980747;10000000,0.001,NA,FALSE
ip-172-31-31-147,1717777895,1717777979,groupby,G1_1e7_2e0_0_0,10000000,sum v1 by id1,2,2,collapse,2.0.14,,group_by,1,0.054,NA,TRUE,30000054,0,NA,FALSE
ip-172-31-31-147,1717777895,1717777980,groupby,G1_1e7_2e0_0_0,10000000,sum v1 by id1,2,2,collapse,2.0.14,,group_by,2,0.044,NA,TRUE,30000054,0,NA,FALSE
ip-172-31-31-147,1717777895,1717777982,groupby,G1_1e7_2e0_0_0,10000000,sum v1 by id1:id2,4,3,collapse,2.0.14,,group_by,1,0.058,NA,TRUE,30000054,0,NA,FALSE
ip-172-31-31-147,1717777895,1717777984,groupby,G1_1e7_2e0_0_0,10000000,sum v1 by id1:id2,4,3,collapse,2.0.14,,group_by,2,0.059,NA,TRUE,30000054,0.001,NA,FALSE
ip-172-31-31-147,1717777895,1717777986,groupby,G1_1e7_2e0_0_0,10000000,sum v1 mean v3 by id3,4323566,3,collapse,2.0.14,,group_by,1,0.298,NA,TRUE,30000054;216107547,0.001,NA,FALSE
ip-172-31-31-147,1717777895,1717777988,groupby,G1_1e7_2e0_0_0,10000000,sum v1 mean v3 by id3,4323566,3,collapse,2.0.14,,group_by,2,0.27,NA,TRUE,30000054;216107547,0,NA,FALSE
ip-172-31-31-147,1717777895,1717777990,groupby,G1_1e7_2e0_0_0,10000000,mean v1:v3 by id4,2,4,collapse,2.0.14,,group_by,1,0.071,NA,TRUE,6.000011;15.99728;99.9872,0.002,NA,FALSE
ip-172-31-31-147,1717777895,1717777992,groupby,G1_1e7_2e0_0_0,10000000,mean v1:v3 by id4,2,4,collapse,2.0.14,,group_by,2,0.056,NA,TRUE,6.000011;15.99728;99.9872,0.001,NA,FALSE
ip-172-31-31-147,1717777895,1717777994,groupby,G1_1e7_2e0_0_0,10000000,sum v1:v3 by id6,4322014,4,collapse,2.0.14,,group_by,1,0.323,NA,TRUE,30000054;79986418;499936032,0.002,NA,FALSE
ip-172-31-31-147,1717777895,1717777996,groupby,G1_1e7_2e0_0_0,10000000,sum v1:v3 by id6,4322014,4,collapse,2.0.14,,group_by,2,0.317,NA,TRUE,30000054;79986418;499936032,0.002,NA,FALSE
ip-172-31-31-147,1717777895,1717777998,groupby,G1_1e7_2e0_0_0,10000000,median v3 sd v3 by id4 id5,4,4,collapse,2.0.14,,group_by,1,0.129,NA,TRUE,199.9701;115.4886,0.002,NA,FALSE
ip-172-31-31-147,1717777895,1717778000,groupby,G1_1e7_2e0_0_0,10000000,median v3 sd v3 by id4 id5,4,4,collapse,2.0.14,,group_by,2,0.114,NA,TRUE,199.9701;115.4886,0.001,NA,FALSE
ip-172-31-31-147,1717777895,1717778002,groupby,G1_1e7_2e0_0_0,10000000,max v1 - min v2 by id3,4323566,2,collapse,2.0.14,,group_by,1,0.316,NA,TRUE,-8263086,0.001,NA,FALSE
ip-172-31-31-147,1717777895,1717778004,groupby,G1_1e7_2e0_0_0,10000000,max v1 - min v2 by id3,4323566,2,collapse,2.0.14,,group_by,2,0.315,NA,TRUE,-8263086,0.001,NA,FALSE
ip-172-31-31-147,1717777895,1717778006,groupby,G1_1e7_2e0_0_0,10000000,largest two v3 by id6,8644028,2,collapse,2.0.14,,group_by,1,0.528,NA,TRUE,486675192,0.001,NA,FALSE
ip-172-31-31-147,1717777895,1717778009,groupby,G1_1e7_2e0_0_0,10000000,largest two v3 by id6,8644028,2,collapse,2.0.14,,group_by,2,0.542,NA,TRUE,486675192,0.001,NA,FALSE
ip-172-31-31-147,1717777895,1717778011,groupby,G1_1e7_2e0_0_0,10000000,regression v1 v2 by id2 id4,4,3,collapse,2.0.14,,group_by,1,0.307,NA,TRUE,0.000001462804,0,NA,FALSE
ip-172-31-31-147,1717777895,1717778013,groupby,G1_1e7_2e0_0_0,10000000,regression v1 v2 by id2 id4,4,3,collapse,2.0.14,,group_by,2,0.28,NA,TRUE,0.000001462804,0,NA,FALSE
ip-172-31-31-147,1717777895,1717778016,groupby,G1_1e7_2e0_0_0,10000000,sum v3 count by id1:id6,10000000,8,collapse,2.0.14,,group_by,1,0.929,NA,TRUE,499936032;10000000,0.001,NA,FALSE
ip-172-31-31-147,1717777895,1717778018,groupby,G1_1e7_2e0_0_0,10000000,sum v3 count by id1:id6,10000000,8,collapse,2.0.14,,group_by,2,0.891,NA,TRUE,499936032;10000000,0.001,NA,FALSE
ip-172-31-31-147,1717777895,1717778037,groupby,G1_1e7_1e2_0_1,10000000,sum v1 by id1,100,2,collapse,2.0.14,,group_by,1,0.059,NA,TRUE,29998789,0,NA,FALSE
ip-172-31-31-147,1717777895,1717778037,groupby,G1_1e7_1e2_0_1,10000000,sum v1 by id1,100,2,collapse,2.0.14,,group_by,2,0.056,NA,TRUE,29998789,0,NA,FALSE
ip-172-31-31-147,1717777895,1717778037,groupby,G1_1e7_1e2_0_1,10000000,sum v1 by id1:id2,10000,3,collapse,2.0.14,,group_by,1,0.07,NA,TRUE,29998789,0,NA,FALSE
ip-172-31-31-147,1717777895,1717778037,groupby,G1_1e7_1e2_0_1,10000000,sum v1 by id1:id2,10000,3,collapse,2.0.14,,group_by,2,0.071,NA,TRUE,29998789,0.001,NA,FALSE
ip-172-31-31-147,1717777895,1717778038,groupby,G1_1e7_1e2_0_1,10000000,sum v1 mean v3 by id3,100000,3,collapse,2.0.14,,group_by,1,0.201,NA,TRUE,29998789;4999720,0.001,NA,FALSE
